Year;Sex;Age group;Score
2001;Total;15–34;72
2002;Total;15–34;73
2003;Total;15–34;73
2004;Total;15–34;72
2005;Total;15–34;72
2006;Total;15–34;73
2007;Total;15–34;73
2008;Total;15–34;73
2009;Total;15–34;73
2010;Total;15–34;73
2011;Total;15–34;73
2012;Total;15–34;73
2013;Total;15–34;72
2014;Total;15–34;72
2015;Total;15–34;72
2016;Total;15–34;71
2017;Total;15–34;70
2018;Total;15–34;69
2019;Total;15–34;69
2020;Total;15–34;66
2021;Total;15–34;65
